title,Yes Percentage
easy-coconut-rice,100.0
strawberries-in-pimm-s,100.0
apple-pumpkin-spread,100.0
frugal-beef-stew,100.0
jam-drop-biscuits,100.0
rouille,100.0
scone-pastry,100.0
shellabina-s-corned-beef-hash,88.88888888888889
butternut-squash-pastry-for-pies,87.5
lamb-curry--serves-4-,85.71428571428571
black-rice-pudding,81.81818181818183
busters-liver-dinner,77.77777777777779
very-vanilla-ry-cheesecake,70.3125
brown sugar shortbread,67.85714285714286
strawberry-tiramisu-trifle,66.66666666666666
balsamic-and-mozzarella-chicken,66.66666666666666
easy strawberry tart,63.63636363636363
smoked-salmon-and-grapefruit-salad,63.63636363636363
white bread,61.224489795918366
best-ever-margarita,60.0
slow cooker butter chicken,60.0
halloumi-and-figs,60.0
peppers-with-tuna-and-mushrooms,59.25925925925925
vegetable-terrine,58.666666666666664
spanish-rabbit-stew,57.692307692307686
tortellini-fritto-with-almond-butter,57.14285714285714
simple-basic-cupcakes,55.55555555555556
spiced butternut squash soup,54.25531914893617
tangy-gammon-in-cider,53.57142857142857
banana-split-cake,52.5
no-sugar-rock-cakes,52.17391304347826
chocolate-pancake-batter,51.61290322580645
old-fashioned-welsh-rarebit,50.0
one-pot irish stew,50.0
tomato and basil salad,50.0
sardine spread,50.0
creamy-chayote-squash-soup,50.0
chicory-and-roquefort-salad,50.0
chicken-prawn-and-rice-soup,50.0
warm-puy-lentil-and-tomato-salad,50.0
curried bbq mussels,48.64864864864865
cloud-bread,47.82608695652174
lightly spiced tomato and red lentil soup,46.666666666666664
fusilli-and-meatballs,45.23809523809524
almond and apple cake,43.75
spiced-guava-cake,43.75
almost no fat banana bread,43.75
chicken and vegetable pie,41.935483870967744
spiced-pumpkin-teabread,41.509433962264154
lemon-zested-strawberry-shortcakes,39.53488372093023
cranachan,36.36363636363637
feta-and-sundried-tomato-spinach-rolls,36.0
kid-s-cheese-and-veg-kebab,33.33333333333333
chocolate-chocolate-cake,32.947976878612714
spicy-tomato-anchovy-pasta,30.555555555555557
green-tofu-curry,26.666666666666668
